# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.load.entities.ms,1705420458233000000,1705420518233000000,32
jps.save.changed.project.entities.ms,1705420458233000000,1705420518233000000,2
jps.project.serializers.save.ms,1705420458233000000,1705420518233000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1705420458233000000,1705420518233000000,13
workspaceModel.moduleManagerBridge.newModule.ms,1705420458233000000,1705420518233000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1705420458233000000,1705420518233000000,0
jps.global.get.library.ms,1705420458233000000,1705420518233000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705420458233000000,1705420518233000000,0
workspaceModel.global.updates.count,1705420458233000000,1705420518233000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1705420458233000000,1705420518233000000,0
jps.reload.project.entities.ms,1705420458233000000,1705420518233000000,0
jps.global.get.library.by.name.ms,1705420458233000000,1705420518233000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1705420458233000000,1705420518233000000,0
jps.app.storage.content.writer.save.component.ms,1705420458233000000,1705420518233000000,0
jps.save.global.entities.ms,1705420458233000000,1705420518233000000,1
workspaceModel.moduleBridge.before.changed.ms,1705420458233000000,1705420518233000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1705420458233000000,1705420518233000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1705420458233000000,1705420518233000000,88
jps.apply.loaded.storage.ms,1705420458233000000,1705420518233000000,69
jps.facet.change.listener.init.bridge.ms,1705420458233000000,1705420518233000000,0
workspaceModel.orphan.listener.update.ms,1705420458233000000,1705420518233000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1705420458233000000,1705420518233000000,0
jps.global.handle.changed.events.ms,1705420458233000000,1705420518233000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1705420458233000000,1705420518233000000,0
jps.load.initial.state.ms,1705420458233000000,1705420518233000000,14
workspaceModel.moduleBridgeLoader.loading.modules.ms,1705420458233000000,1705420518233000000,1788
workspaceModel.delayed.project.synchronizer.sync.ms,1705420458233000000,1705420518233000000,211
jps.global.initialize.library.bridges.ms,1705420458233000000,1705420518233000000,1
jps.load.project.to.empty.storage.ms,1705420458233000000,1705420518233000000,134
jps.storage.jps.conf.reader.load.component.ms,1705420458233000000,1705420518233000000,17
workspaceModel.mutableEntityStorage.replace.by.source.ms,1705420458233000000,1705420518233000000,34
workspaceModel.mutableEntityStorage.entities.by.source.ms,1705420458233000000,1705420518233000000,3
jps.project.serializers.load.ms,1705420458233000000,1705420518233000000,118
workspaceModel.save.cache.to.file.ms,1705420458233000000,1705420518233000000,187
workspaceModel.mutableEntityStorage.add.diff.ms,1705420458233000000,1705420518233000000,22
jps.app.storage.content.reader.load.component.ms,1705420458233000000,1705420518233000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1705420458233000000,1705420518233000000,1
jps.module.iml.entities.serializer.save.entities.ms,1705420458233000000,1705420518233000000,0
jps.global.initialize.library.bridges.after.loading.ms,1705420458233000000,1705420518233000000,0
workspaceModel.global.apply.state.to.project.ms,1705420458233000000,1705420518233000000,73
workspaceModel.load.cache.from.file.ms,1705420458233000000,1705420518233000000,420
jps.global.get.libraries.ms,1705420458233000000,1705420518233000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1705420458233000000,1705420518233000000,1
jps.artifact.entities.serializer.load.entities.ms,1705420458233000000,1705420518233000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705420458233000000,1705420518233000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1705420458233000000,1705420518233000000,0
workspaceModel.sync.entities.ms,1705420458233000000,1705420518233000000,0
workspaceModel.moduleBridge.update.option.ms,1705420458233000000,1705420518233000000,0
jps.artifact.entities.serializer.save.entities.ms,1705420458233000000,1705420518233000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1705420458233000000,1705420518233000000,1
jps.facet.change.listener.process.change.events.ms,1705420458233000000,1705420518233000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1705420458233000000,1705420518233000000,0
workspaceModel.global.updates.ms,1705420458233000000,1705420518233000000,0
jps.facet.change.listener.before.change.events.ms,1705420458233000000,1705420518233000000,1
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1705420458233000000,1705420518233000000,170008576
StorageLockContext.competingThreads.max,1705420458233000000,1705420518233000000,0
FilePageCache.pageLoads,1705420458233000000,1705420518233000000,0
FilePageCache.pageFastCacheHits,1705420458233000000,1705420518233000000,0
StreamlinedBlobStorage.recordsAllocated,1705420458233000000,1705420518233000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1705420458233000000,1705420518233000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705420458233000000,1705420518233000000,0
DirectByteBufferAllocator.reclaimed,1705420458233000000,1705420518233000000,0
StreamlinedBlobStorage.recordsRelocated,1705420458233000000,1705420518233000000,0
FilePageCache.totalPageDisposalsUs,1705420458233000000,1705420518233000000,0
FilePageCache.maxCacheSizeInBytes,1705420458233000000,1705420518233000000,170008576
FilePageCache.uncachedFileAccess,1705420458233000000,1705420518233000000,0
StorageLockContext.competingThreads.90P,1705420458233000000,1705420518233000000,0
FilePageCache.capacityInBytes,1705420458233000000,1705420518233000000,524288000
StorageLockContext.competingThreads.avg,1705420458233000000,1705420518233000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705420458233000000,1705420518233000000,0
FilePageCache.pageHits,1705420458233000000,1705420518233000000,0
DirectByteBufferAllocator.hits,1705420458233000000,1705420518233000000,0
DirectByteBufferAllocator.misses,1705420458233000000,1705420518233000000,0
DirectByteBufferAllocator.disposed,1705420458233000000,1705420518233000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1705420458233000000,1705420518233000000,0
FilePageCache.totalPageLoadsUs,1705420458233000000,1705420518233000000,0
FilePageCache.maxRegisteredFiles,1705420458233000000,1705420518233000000,254
FilePageCache.disposedBuffers,1705420458233000000,1705420518233000000,0
StreamlinedBlobStorage.recordsDeleted,1705420458233000000,1705420518233000000,0
Indexes.stubs.lookupDurationMaxMs,1705420458233000000,1705420518233000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1705420458233000000,1705420518233000000,0.0
IndexesFlusher.totalFlushes,1705420458233000000,1705420518233000000,118
IndexesFlusher.totalContentionQuotaSpent,1705420458233000000,1705420518233000000,0
Indexes.stubs.lookupDurationAvgMs,1705420458233000000,1705420518233000000,0.0
IndexesFlusher.totalFlushingTimeUs,1705420458233000000,1705420518233000000,354675
Indexes.stubs.lookupDuration90PMs,1705420458233000000,1705420518233000000,0.0
Indexes.entries.lookups,1705420458233000000,1705420518233000000,0.0
VFSFlusher.totalContentionQuotaSpent,1705420458233000000,1705420518233000000,0
VFSFlusher.totalFlushes,1705420458233000000,1705420518233000000,0
Indexes.allKeys.lookups,1705420458233000000,1705420518233000000,0.0
VFSFlusher.totalFlushingTimeUs,1705420458233000000,1705420518233000000,0
Indexes.entries.lookupDurationAvgMs,1705420458233000000,1705420518233000000,0.0
Indexes.entries.lookupDurationMaxMs,1705420458233000000,1705420518233000000,0.0
Indexes.stubs.lookups,1705420458233000000,1705420518233000000,0.0
Indexes.allKeys.lookupDuration90PMs,1705420458233000000,1705420518233000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1705420458233000000,1705420518233000000,0.0
VFSFlusher.totalFlushesRetried,1705420458233000000,1705420518233000000,0
Indexes.entries.lookupDuration90PMs,1705420458233000000,1705420518233000000,0.0
IndexesFlusher.totalFlushesRetried,1705420458233000000,1705420518233000000,0
FileNameCache.queries,1705420458233000000,1705420518233000000,26
FileNameCache.fastMisses,1705420458233000000,1705420518233000000,0
FileNameCache.totalMisses,1705420458233000000,1705420518233000000,0
JVM.usedNativeBytes,1705420458233000000,1705420518233000000,294951344
JVM.usedHeapBytes,1705420458233000000,1705420518233000000,384819712
JVM.maxHeapBytes,1705420458233000000,1705420518233000000,2147483648
JVM.GC.collections,1705420458233000000,1705420518233000000,0
JVM.threadCount,1705420458233000000,1705420518233000000,43
JVM.maxNativeBytes,1705420458233000000,1705420518233000000,-1
JVM.totalCpuTimeMs,1705420458233000000,1705420518233000000,6100
JVM.GC.collectionTimesMs,1705420458233000000,1705420518233000000,0
OS.loadAverage,1705420458233000000,1705420518233000000,1.1826171875
workspaceModel.updates.count,1705420518233000000,1705420578233000000,3
workspaceModel.loading.total.ms,1705420518233000000,1705420578233000000,486
workspaceModel.collect.changes.ms,1705420518233000000,1705420578233000000,0
workspaceModel.init.bridges.ms,1705420518233000000,1705420578233000000,3
workspaceModel.pre.handlers.ms,1705420518233000000,1705420578233000000,2
workspaceModel.to.snapshot.ms,1705420518233000000,1705420578233000000,1
workspaceModel.initializing.ms,1705420518233000000,1705420578233000000,3
workspaceModel.updates.ms,1705420518233000000,1705420578233000000,120
workspaceModel.check.recursive.update.ms,1705420518233000000,1705420578233000000,0
workspaceModel.loading.from.cache.ms,1705420518233000000,1705420578233000000,422
workspaceModel.replace.project.model.ms,1705420518233000000,1705420578233000000,0
workspaceModel.update.unloaded.entities.ms,1705420518233000000,1705420578233000000,0
workspaceModel.updates.precise.ms,1705420518233000000,1705420578233000000,44
FlushQueue.executionTimeAvgNs,1705420518233000000,1705420578233000000,78713.85202863962
NonBlockingReadAction.failedExecutionTimeUs,1705420518233000000,1705420578233000000,0
FlushQueue.tasksExecuted,1705420518233000000,1705420578233000000,838
NonBlockingReadAction.finalizedExecutionTimeUs,1705420518233000000,1705420578233000000,0
FlushQueue.queueSizeAvg,1705420518233000000,1705420578233000000,0.00477326968973747
FlushQueue.waitingTimeMaxNs,1705420518233000000,1705420578233000000,4325375
AWTEventQueue.eventsDispatched,1705420518233000000,1705420578233000000,3804
NonBlockingReadAction.finalizedExecutionsCount,1705420518233000000,1705420578233000000,0
FlushQueue.queueSizeMax,1705420518233000000,1705420578233000000,1
NonBlockingReadAction.failedExecutionsCount,1705420518233000000,1705420578233000000,0
FlushQueue.waitingTime90PNs,1705420518233000000,1705420578233000000,315391
AWTEventQueue.dispatchTime90PNs,1705420518233000000,1705420578233000000,176127
FlushQueue.queueSize90P,1705420518233000000,1705420578233000000,0
AWTEventQueue.dispatchTimeTotalNS,1705420518233000000,1705420578233000000,461997137
AWTEventQueue.dispatchTimeMaxNs,1705420518233000000,1705420578233000000,2260991
AWTEventQueue.dispatchTimeAvgNs,1705420518233000000,1705420578233000000,121407.6887486856
FlushQueue.waitingTimeAvgNs,1705420518233000000,1705420578233000000,219657.01193317422
FlushQueue.executionTimeMaxNs,1705420518233000000,1705420578233000000,2113535
FlushQueue.executionTime90PNs,1705420518233000000,1705420578233000000,229375
workspaceModel.mutableEntityStorage.put.entity.ms,1705420518233000000,1705420578233000000,29
jps.library.entities.serializer.load.entities.ms,1705420518233000000,1705420578233000000,0
jps.library.entities.serializer.save.entities.ms,1705420518233000000,1705420578233000000,0
jps.global.handle.before.change.events.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1705420518233000000,1705420578233000000,13
workspaceModel.mutableEntityStorage.entities.ms,1705420518233000000,1705420578233000000,6
workspaceModel.moduleManagerBridge.build.module.graph.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1705420518233000000,1705420578233000000,84
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1705420518233000000,1705420578233000000,0
jps.module.iml.entities.serializer.load.entities.ms,1705420518233000000,1705420578233000000,32
jps.save.changed.project.entities.ms,1705420518233000000,1705420578233000000,2
jps.project.serializers.save.ms,1705420518233000000,1705420578233000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1705420518233000000,1705420578233000000,13
workspaceModel.moduleManagerBridge.newModule.ms,1705420518233000000,1705420578233000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1705420518233000000,1705420578233000000,0
jps.global.get.library.ms,1705420518233000000,1705420578233000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705420518233000000,1705420578233000000,0
workspaceModel.global.updates.count,1705420518233000000,1705420578233000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1705420518233000000,1705420578233000000,0
jps.reload.project.entities.ms,1705420518233000000,1705420578233000000,0
jps.global.get.library.by.name.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1705420518233000000,1705420578233000000,0
jps.app.storage.content.writer.save.component.ms,1705420518233000000,1705420578233000000,0
jps.save.global.entities.ms,1705420518233000000,1705420578233000000,1
workspaceModel.moduleBridge.before.changed.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1705420518233000000,1705420578233000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1705420518233000000,1705420578233000000,88
jps.apply.loaded.storage.ms,1705420518233000000,1705420578233000000,69
jps.facet.change.listener.init.bridge.ms,1705420518233000000,1705420578233000000,0
workspaceModel.orphan.listener.update.ms,1705420518233000000,1705420578233000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1705420518233000000,1705420578233000000,0
jps.global.handle.changed.events.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1705420518233000000,1705420578233000000,0
jps.load.initial.state.ms,1705420518233000000,1705420578233000000,14
workspaceModel.moduleBridgeLoader.loading.modules.ms,1705420518233000000,1705420578233000000,1788
workspaceModel.delayed.project.synchronizer.sync.ms,1705420518233000000,1705420578233000000,211
jps.global.initialize.library.bridges.ms,1705420518233000000,1705420578233000000,1
jps.load.project.to.empty.storage.ms,1705420518233000000,1705420578233000000,134
jps.storage.jps.conf.reader.load.component.ms,1705420518233000000,1705420578233000000,17
workspaceModel.mutableEntityStorage.replace.by.source.ms,1705420518233000000,1705420578233000000,34
workspaceModel.mutableEntityStorage.entities.by.source.ms,1705420518233000000,1705420578233000000,3
jps.project.serializers.load.ms,1705420518233000000,1705420578233000000,118
workspaceModel.save.cache.to.file.ms,1705420518233000000,1705420578233000000,187
workspaceModel.mutableEntityStorage.add.diff.ms,1705420518233000000,1705420578233000000,22
jps.app.storage.content.reader.load.component.ms,1705420518233000000,1705420578233000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1705420518233000000,1705420578233000000,1
jps.module.iml.entities.serializer.save.entities.ms,1705420518233000000,1705420578233000000,0
jps.global.initialize.library.bridges.after.loading.ms,1705420518233000000,1705420578233000000,0
workspaceModel.global.apply.state.to.project.ms,1705420518233000000,1705420578233000000,73
workspaceModel.load.cache.from.file.ms,1705420518233000000,1705420578233000000,420
jps.global.get.libraries.ms,1705420518233000000,1705420578233000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1705420518233000000,1705420578233000000,1
jps.artifact.entities.serializer.load.entities.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1705420518233000000,1705420578233000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1705420518233000000,1705420578233000000,0
workspaceModel.sync.entities.ms,1705420518233000000,1705420578233000000,0
workspaceModel.moduleBridge.update.option.ms,1705420518233000000,1705420578233000000,0
jps.artifact.entities.serializer.save.entities.ms,1705420518233000000,1705420578233000000,0
